RegionName,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60618,1036,IL,297557.8,268097.41666666674,243798.75,255301.16666666663,288366.66666666674,298356.66666666674,308538.58333333326,323533.33333333326,337496.91666666674,338157.5,338623.8,352845.9996
77584,4567,TX,157732.8,152331.91666666663,147512.58333333337,157051.41666666663,179482.0,225779.58333333328,249415.0,266161.83333333326,289949.75,297475.0,306129.3,316843.8255
10011,4106,NY,711363.8,761818.6666666665,794025.3333333335,858965.5,966272.5,1072045.666666667,1120927.5,1098566.333333333,1076013.333333333,1062638.333333333,964886.3,962956.5274
20002,6272,DC,357214.5,355243.5,356727.41666666674,390533.75,420680.58333333326,436995.16666666674,439948.83333333326,453980.25,468641.66666666674,483072.25,498538.9,519976.0727
10128,4106,NY,823820.3,850432.25,863416.5833333335,877935.5,975745.5833333335,1048642.166666667,1116578.5,1150171.666666667,1247354.25,1279643.75,1210031.0,1229391.496
28269,985,NC,130341.3,117423.33333333331,111436.83333333331,112768.25,123787.83333333331,126108.16666666669,132424.08333333337,144877.16666666663,158761.0,170352.5,181821.5,192185.3255
78613,930,TX,206265.2,200515.25,202475.91666666663,213928.5,234466.91666666663,252764.75,262810.16666666674,274470.5,278928.66666666674,287065.5,292483.2,305644.94399999996
77433,1347,TX,,,,,,,223478.5,226407.75,240639.08333333328,244863.0,242784.2,253223.9206
78572,3797,TX,62463.9,59922.16666666666,60720.25,59893.66666666666,61687.0,60068.0,59828.83333333334,62308.75,63158.41666666666,64926.83333333334,67274.7,70571.16029999999
30349,5004,GA,46218.5,36786.25,36981.583333333336,37307.5,37749.583333333336,41048.25,43366.833333333336,49460.16666666666,57206.41666666666,64227.08333333334,70751.2,74713.2672
79912,1698,TX,116777.4,114577.41666666669,113044.58333333331,116926.83333333331,115740.16666666669,115422.25,114829.41666666669,117704.5,119889.5,123892.33333333331,123722.0,128918.324
75052,2220,TX,72896.0,68100.0,63972.0,68145.25,74839.5,81176.66666666669,90309.25,102590.5,115223.0,134405.16666666663,141760.2,148564.6896
37042,1088,TN,144786.7,144360.25,138570.91666666663,130890.66666666669,146905.91666666663,153744.66666666663,162649.16666666663,169521.66666666663,172546.16666666663,179231.16666666663,183068.3,194601.6029
11206,4106,NY,335699.3,324570.91666666674,365403.08333333326,402504.33333333326,449073.25,492773.58333333326,494487.5,536315.0,551365.5833333335,563183.0833333335,567923.3,596319.4650000001
73099,6708,OK,158320.1,149390.25,146033.16666666663,150169.0,151041.83333333337,154350.08333333337,150465.5,150268.33333333337,149944.16666666663,158249.58333333337,164232.2,171622.64899999998
90046,3348,CA,494431.5,455296.0,431084.5,499143.5,555087.0,577372.75,621475.0,660797.4166666665,702033.4166666665,712886.9166666665,737049.4,779061.2158
20009,6272,DC,422893.5,424283.91666666674,429013.25,457855.83333333326,481045.75,487722.41666666674,498318.58333333326,516091.0,524236.16666666674,532282.6666666665,540287.7,562439.4957
