RegionName,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10463,10286,NY,802973.4,724725.3333333335,774156.5,784178.6666666665,833953.9166666665,863990.75,896174.0,979571.75,1007659.0,1031436.3333333335,1071600.9,1130538.9495
60629,2625,IL,161962.2,154341.83333333337,137996.5,130799.58333333331,133313.41666666663,143362.5,167100.25,184071.41666666663,197174.91666666663,209011.5,219740.2,232704.8718
11209,10286,NY,1035887.9,1020643.1666666665,1011459.75,1075483.75,1146278.75,1229561.666666667,1363511.666666667,1460032.666666667,1503875.583333333,1549446.083333333,1501356.8,1543394.7904
30096,3991,GA,302364.0,274788.5,276883.33333333326,307627.75,338486.66666666674,344140.83333333326,358032.0,375189.83333333326,399245.66666666674,408678.33333333326,421997.8,441831.6966
11221,10286,NY,596230.9,590604.5,611332.8333333335,669250.6666666665,870516.5833333335,1063435.833333333,1225319.083333333,1299343.083333333,1349548.833333333,1355167.25,1349171.5,1390995.8165
7030,6622,NJ,1230911.7,1141872.0,1192313.5,1277312.083333333,1436437.583333333,1593975.25,1746787.333333333,1856526.166666667,1957495.916666667,1941269.333333333,1964269.5,2033018.9325
98052,12153,WA,616393.0,589956.4166666665,588016.0833333335,664788.0833333335,732433.9166666665,786485.5833333335,864498.0,998541.5,1158282.916666667,1135563.583333333,1203887.9,1276121.174
30024,14189,GA,361226.2,337900.25,343047.91666666674,372992.5,408119.75,423212.66666666674,436574.0,455368.75,473450.58333333326,484491.25,490968.5,512571.114
60610,2625,IL,1787588.1,1703262.916666667,1799065.916666667,1954774.833333333,2156634.083333333,2303424.916666666,2404964.166666666,2440922.5,2447113.916666666,2462448.25,2374842.1,2467460.9419
78704,667,TX,640881.7,638966.0833333335,658406.0833333335,714690.4166666665,831483.5,959539.8333333335,1051523.916666667,1092921.083333333,1166599.75,1193509.333333333,1276956.9,1347189.5294999995
77077,6806,TX,527037.9,518086.83333333326,520460.0,573806.75,659833.8333333335,730586.8333333335,761914.9166666665,751185.75,732866.4166666665,738436.75,714182.5,739178.8875
85032,11428,AZ,288365.3,267413.83333333326,275563.91666666674,334611.0,367444.08333333326,379830.25,398790.66666666674,414108.08333333326,442176.5,465354.5,498248.4,528143.304
77379,13754,TX,298008.6,289243.0,291260.5,307756.33333333326,335855.41666666674,357924.91666666674,360266.0,359107.91666666674,362245.91666666674,368359.5,372767.6,388796.6068
75287,3493,TX,569264.4,549988.9166666665,547214.25,568475.25,598851.8333333335,650621.4166666665,695328.4166666665,724495.75,748176.5833333335,737293.75,744439.4,778683.6124000001
10024,10286,NY,5267042.7,6467616.25,7060484.083333332,6870399.083333332,7456837.333333332,8671987.0,8825723.0,8487995.333333334,8137428.833333332,8512482.833333334,8527490.4,8996502.372000001
78666,12935,TX,260140.2,254552.41666666663,252963.83333333328,258906.58333333328,271431.16666666674,294971.33333333326,305471.41666666674,317054.0,331489.5,327865.16666666674,341648.4,358389.1716
21234,11184,MD,280660.3,263436.75,259284.41666666663,262319.16666666674,272949.75,269577.0,272255.58333333326,276924.25,287189.58333333326,289727.08333333326,289450.9,301607.83780000004
33160,14148,FL,1806145.4,1856180.333333333,1987271.416666667,2314950.583333333,2710255.833333333,2972483.666666666,3177055.75,3306059.833333333,3329410.583333333,3253262.333333333,3121839.8,3224860.5134
23464,15524,VA,347052.8,328708.58333333326,327558.5,334290.91666666674,339009.08333333326,343306.66666666674,345631.25,354056.08333333326,362340.16666666674,367034.91666666674,375246.6,392883.1902
34787,16484,FL,313329.8,294905.66666666674,301296.08333333326,346100.5,381331.08333333326,387353.58333333326,411108.91666666674,428126.75,447883.91666666674,471170.25,485593.5,507445.2075
78521,1778,TX,190163.9,183909.0,189379.5833333333,185482.41666666663,189990.3333333333,194156.75,185494.41666666663,184829.25,186662.16666666663,197919.66666666663,196807.9,207829.1424
8701,7809,NJ,409431.8,399245.33333333326,366460.5,365688.33333333326,393251.75,412157.66666666674,452195.5,487109.0,514825.83333333326,511824.66666666674,518285.8,540053.8036
75243,3493,TX,307886.4,302054.58333333326,304395.0,325011.25,354983.5,381866.5,415241.08333333326,446412.66666666674,472501.08333333326,487598.58333333326,496688.8,517549.7296
