index,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Ada,OH,47469.4,48133.41666666666,50838.83333333334,50203.66666666666,52069.08333333334,54830.08333333334,57550.83333333334,60625.0,67075.08333333331,70879.08333333331,73615.3,76927.98849999999
35,Ada,OK,26596.3,26624.83333333333,27677.33333333333,30194.41666666667,30013.83333333333,29801.08333333333,31965.66666666667,33943.666666666664,37298.25,38372.16666666666,40787.8,42419.31200000001
36,Adair,IA,,,,,,,71899.5,74227.5,72515.83333333331,76163.08333333331,82769.2,86576.5832
37,Adair,IL,,,,,,,,37412.6,39373.66666666666,36896.0,37711.6,39144.6408
38,Adair,OK,55921.7,58259.16666666666,59024.41666666666,61450.0,66759.41666666669,72246.5,72622.83333333331,75993.66666666669,77966.5,81841.75,86968.3,90620.9686
39,Adairsville,GA,80923.4,74622.25,69467.16666666669,71585.08333333331,76685.41666666669,81613.16666666669,85908.58333333331,89731.58333333331,98969.75,109605.25,112977.7,118852.5404
40,Adairville,KY,,,29303.44444444444,28456.25,29210.41666666667,29323.41666666667,31163.33333333333,32354.75,33270.416666666664,34030.5,34016.7,34594.983899999985
41,Adams,MA,138780.2,138210.16666666663,131718.16666666663,124246.5,125176.58333333331,130060.83333333331,129708.58333333331,132603.75,129746.91666666669,127426.08333333331,125634.3,130785.3063
42,Adams,MN,95107.9,90725.0,90207.16666666669,90934.41666666669,97873.0,102832.83333333331,105259.33333333331,106150.25,105782.83333333331,115938.83333333331,120776.1,126935.6811
43,Adams,NE,171842.6,165671.16666666663,159337.08333333337,164238.91666666663,174145.33333333337,189478.0833333333,193029.91666666663,194874.66666666663,196363.5,214358.3333333333,224752.8,234417.1704
44,Adams,OR,102748.4,100447.08333333331,103293.41666666669,108067.66666666669,111746.66666666669,120496.75,129322.5,142300.41666666663,156372.08333333337,160687.0,165780.6,173738.0688
45,Adams,WI,32339.7,31253.75,31214.91666666667,30135.0,31077.66666666667,33101.333333333336,34533.666666666664,34349.416666666664,35011.833333333336,35566.25,35438.6,36785.2668
46,Adams Center,NY,,,,,,,,88871.83333333331,82681.83333333331,89424.58333333331,95416.1,97706.0864
47,Adamstown,PA,165647.7,158445.41666666663,153095.16666666663,155004.33333333337,155244.41666666663,156296.0,163704.33333333337,164271.25,174070.83333333337,178522.16666666663,175850.9,183764.1905
48,Adamsville,OH,39330.4,39211.333333333336,38675.75,40737.66666666666,44612.75,46406.75,49138.91666666666,52477.0,56208.08333333334,57176.91666666666,57140.5,59940.38449999999
49,Addis,LA,,49245.0,55154.33333333334,59155.66666666666,60709.16666666666,63794.5,61583.5,59581.83333333334,61966.91666666666,61830.75,64748.9,67274.1071
50,Addison,IL,,85507.0,78865.83333333331,66504.0,76485.5,75823.25,78709.16666666669,85080.75,97654.91666666669,102572.16666666669,102179.9,106164.9161
51,Addison,ME,123432.9,122832.16666666669,115197.91666666669,125686.16666666669,121846.41666666669,121565.58333333331,126621.58333333331,131074.08333333337,137761.25,142109.5,144485.6,152287.8224
52,Addison,MI,,,,,121783.8,121195.58333333331,120131.91666666669,126134.0,137550.66666666663,140394.83333333337,134918.0,142203.572
53,Addison,TX,115127.2,105662.33333333331,98161.91666666669,101566.66666666669,100175.41666666669,97413.16666666669,107807.5,121830.16666666669,125511.16666666669,126034.91666666669,131399.9,136787.2959
54,Addison (Webster Springs),WV,,,,,,,16953.14285714286,17634.75,18457.416666666668,19146.25,21243.9,21966.1926
55,Addison Township,PA,,76759.5,73507.66666666667,69394.25,68678.37500000001,68354.45833333333,67985.125,72922.29166666666,76341.24999999999,77794.33333333334,81642.7,86027.0255
56,Addy,WA,151927.6,146299.66666666663,141117.0,147672.5,157126.5,170054.25,182368.5833333333,194493.41666666663,204984.0,208229.91666666663,215735.0,225658.81
57,Adel,GA,,,,,,47350.0,49219.41666666666,48710.41666666666,44213.33333333334,43513.16666666666,41674.2,43549.539000000004
58,Adel,IA,174326.0,159793.33333333337,170400.83333333337,172085.16666666663,146613.66666666663,145313.0,144429.33333333337,149320.91666666663,151646.66666666663,167818.25,170374.9,178041.77049999996
59,Adelanto,CA,,,,102704.0,97717.58333333331,91803.08333333331,87119.16666666669,96436.5,110416.25,128121.58333333331,145144.9,152837.57969999994
60,Adena,OH,,,,,,26607.75,26534.0,27244.0,30257.16666666667,30289.08333333333,31874.7,33372.8109
61,Adin,CA,,,37366.9,40226.0,42852.91666666666,45059.91666666666,50399.58333333334,52200.0,55572.5,56351.5,52320.4,53890.012
62,Adkins,TX,91925.7,86294.41666666669,86076.33333333331,87361.83333333331,92013.25,91517.0,89536.75,101644.75,106727.66666666669,117788.83333333331,131003.0,135850.11099999998
63,Admire,KS,,,,,,,,,56012.0,60720.83333333334,66191.5,68905.35149999999
64,Adolphus,KY,,,27929.9,30334.25,31825.41666666667,32914.833333333336,33616.666666666664,36159.25,38861.333333333336,40436.0,41995.7,43927.5022
65,Adrian,GA,,,,,,,,,103002.4,93285.08333333331,92537.4,96331.43339999998
66,Adrian,MI,,,,53253.5,53663.91666666666,58270.83333333334,60065.16666666666,58301.08333333334,61680.33333333334,65976.41666666669,69707.2,72983.4384
67,Adrian,MO,,,,,,56791.3,58362.5,60961.91666666666,63815.0,66061.75,67995.7,70987.5108
68,Adrian,OR,,,,,63460.7,68378.08333333331,77811.75,82038.91666666669,77765.91666666669,78300.83333333331,73010.5,74251.6785
69,Advance,NC,112007.0,109420.16666666669,106577.91666666669,105913.0,105420.25,101271.91666666669,92068.08333333331,89108.25,89872.75,92591.83333333331,94685.3,98946.1385
70,Affton,MO,95116.3,87148.66666666669,82205.41666666669,83170.5,82531.58333333331,84676.41666666669,83622.25,88312.75,97768.5,102450.58333333331,105276.3,111592.878
71,Afton,IA,,,,,,,,,63743.7,63959.08333333334,65776.5,68407.56
72,Afton,MI,,,53170.33333333334,53260.66666666666,55730.83333333334,57907.25,62948.5,61535.5,63468.25,66140.91666666669,67780.3,69745.9287
73,Afton,MN,319584.0,313242.33333333326,298403.33333333326,296884.16666666674,318361.91666666674,338404.0,350461.91666666674,356523.08333333326,374508.33333333326,395443.83333333326,407025.2,428190.5104
74,Afton,OK,71816.2,70264.75,73770.16666666669,75447.91666666669,77625.5,78724.0,84263.25,90297.0,95512.83333333331,101353.58333333331,113666.2,118099.1818
75,Afton,VA,191162.5,182973.25,180805.8333333333,181276.41666666663,185936.5833333333,186772.8333333333,192106.8333333333,196724.25,203419.25,205830.0833333333,206227.9,214270.7881
76,Agate,CO,272340.0,254218.75,256659.08333333328,265360.33333333326,291210.41666666674,292822.16666666674,293202.0,305228.0,307290.91666666674,303509.0,321732.2,336210.149
77,Agawam,MA,131761.3,122074.95833333333,114149.49999999997,113570.91666666666,116513.25,123610.08333333334,121401.83333333334,125972.875,128522.75000000003,131372.29166666666,134848.0,141316.749
78,Agency,IA,,,,,,51303.3,53753.66666666666,56928.25,63252.83333333334,64324.41666666666,63956.7,66898.7082
79,Agness,OR,,,219678.4,222282.5,269449.75,304592.41666666674,287633.5,308178.83333333326,319584.08333333326,299915.41666666674,309695.8,324561.1984
80,Agoura Hills,CA,255962.4,224633.41666666663,203158.75,243061.41666666663,292665.25,307685.0,327283.16666666674,355622.0,382569.83333333326,386194.66666666674,405087.8,424937.1022
81,Agra,OK,,,,61245.4,56318.25,56729.58333333334,50456.16666666666,46368.83333333334,49721.08333333334,53750.33333333334,54971.5,56950.474
82,Aguanga,CA,172088.9,163702.25,161705.16666666663,164088.5,182461.16666666663,201488.25,207678.0,244548.91666666663,271066.08333333326,306461.5,330611.6,346150.3452
83,Aguilar,CO,104969.9,96479.58333333331,94700.83333333331,89784.83333333331,87459.25,93384.58333333331,102188.25,113411.75,127391.0,135254.08333333337,141563.1,146234.6823
84,Ahwahnee,CA,118615.2,107213.25,110982.91666666669,125665.16666666669,137798.5,144158.58333333337,160077.0,165570.08333333337,190355.0,192659.5,196494.6,206122.8354
85,Aiea,HI,,,,240438.0,259257.41666666663,272639.0,289266.5,308464.91666666674,329252.33333333326,335190.91666666674,333273.1,343937.8392
86,Aiken,SC,174513.2,173697.16666666663,171808.5,175377.66666666663,134709.5833333333,139788.7083333333,153115.54166666666,159901.375,174927.16666666666,181832.62499999997,189434.45,200039.69925
87,Ainsworth,IA,,,,57268.66666666666,61378.91666666666,70376.41666666669,77515.33333333331,83413.66666666669,85192.75,89864.08333333331,89668.8,93255.552
88,Ainsworth,NE,,,,,,,,,53261.625,55864.58333333334,56694.9,58962.695999999996
89,Airville,PA,,,,,,,,111312.1,102647.66666666669,85556.25,72750.7,75224.22379999999
90,Airway Heights,WA,,,127638.8,125357.25,115631.91666666669,120937.5,131808.83333333337,154224.41666666663,168449.75,170506.41666666663,166662.5,176162.26249999995
