RegionName,AGI
35978,52326.732673267325
35979,46603.77358490566
35980,44258.241758241755
35987,51173.4693877551
35988,46268.115942028984
35989,58624.03100775194
36009,60145.63106796116
36024,73496.24060150376
36027,54479.52218430034
36028,47427.536231884056
36030,36250.0
36032,39436.27450980392
36036,46818.181818181816
36039,27954.545454545456
36043,70298.74213836477
36047,44107.142857142855
36052,111381.57894736843
36064,125997.13740458015
36066,73815.93406593407
36067,69179.47558770343
36071,37348.48484848485
36075,46170.88607594937
36078,58956.44283121597
36079,63510.78167115903
36080,81850.96153846153
36088,34896.907216494845
36089,41309.52380952381
36092,59385.665529010235
36093,95947.11538461539
36104,52120.622568093386
36105,41525.11961722488
36110,32359.234234234234
36115,47211.53846153846
36116,51803.93788130893
36201,36470.35256410256
36203,62669.642857142855
36205,54191.17647058824
36206,48120.84257206209
36207,74373.49397590362
36262,48867.92452830189
36263,52159.09090909091
36266,53611.11111111111
36269,51808.51063829787
36271,60995.93495934959
36272,51154.255319148935
36273,57738.09523809524
36274,46094.117647058825
36277,49613.7339055794
36278,76894.73684210527
36303,72480.1429706116
36305,100092.98998569384
36310,55477.17842323652
36312,60544.354838709674
36316,58666.666666666664
36317,42058.82352941176
36319,55568.181818181816
36343,42413.793103448275
36345,69880.95238095238
36346,52758.620689655174
36351,67097.31543624161
36353,49702.380952380954
36362,55839.28571428572
36370,48928.57142857143
36373,37857.142857142855
36375,53527.87456445993
36376,46264.36781609195
36401,47272.72727272727
36425,36060.606060606064
36426,56466.90518783542
36432,43901.0989010989
36436,42222.22222222222
36441,50765.30612244898
36442,45087.71929824561
36444,39772.72727272727
36451,64876.37362637363
36453,54137.93103448276
36460,63455.22388059701
36471,42777.77777777778
36477,55979.53216374269
36480,53235.294117647056
36481,33750.0
36483,41029.41176470588
36502,51361.38613861386
36505,57983.87096774193
36507,60796.019900497515
36518,77772.27722772278
36521,64371.85929648241
36524,48109.756097560974
36525,59598.765432098764
36526,91253.16455696203
36532,116263.51351351352
36535,56212.5
36539,57767.857142857145
36542,81373.74461979914
36544,49329.545454545456
36548,61614.583333333336
36553,48900.0
36555,94833.33333333333
36558,57910.15625
36561,117439.90384615384
36567,57542.51700680272
36569,61048.3870967742
36571,72269.5530726257
36575,60256.92840646651
36576,62523.474178403754
36579,56413.04347826087
36580,55147.05882352941
36582,63265.15151515151
36585,54864.86486486487
36587,57186.73218673219
36602,96931.81818181818
36603,32583.6820083682
36604,77791.00529100529
36605,42302.50481695568
36606,50395.39227895392
36608,93907.3482428115
36610,28097.11286089239
36611,36877.551020408166
36612,29853.896103896102
36613,44764.957264957266
36618,48253.968253968254
36619,71465.24486571879
36693,74982.55813953489
36695,82580.23842274187
36701,50738.29531812725
36703,37536.40776699029
36720,29500.0
36722,33846.153846153844
